"name","role","season","episodeName","actorName","gender"
"213","Samuel Cavanagh","Killer",1,"A Chill Goes Through Her Veins",NA,"m"
"214","Samuel Lynchberg","Killer",4,"A Dance With Death","Sullivan, Larry","m"
"215","Sandra Keller","Victim",2,"Tick, Tick, Tick...","Klein, Barbara Anne","f"
"216","Sara Cutler","Victim",3,"One Life to Lose",NA,"f"
"217","Sarah Vasquez","Victim",4,"Kill Shot","Ferraro, Christina","f"
"218","Sara Manning","Victim",1,"Nanny McDead",NA,"f"
"219","Scarlett Price","Killer",2,"Love Me Dead","McManus, Michaela","f"
"220","Scott Donner","Killer",3,"Nikki Heat","Calabro, Thomas","m"
"221","Scott Dunn","Killer",2,"Boom! (Part 2)",NA,"m"
"222","Scott Murray","Victim",3,"Knockdown",NA,"m"
"223","Several Other Civilians","Hostage",4,"Cops and Robbers",NA,NA
"224","Shawn York","Killer",3,"Lucky Stiff","Reegan, Joe","m"
"225","Simone","Hostage",4,"Cops and Robbers",NA,"f"
"226","Sonia Gilbert","Victim",4,"Rise",NA,"f"
"227","Sophia Turner","Victim",4,"Linchpin (Part 2)",NA,"f"
"228","Sophia Turner","Killer",4,"Linchpin (Part 2)",NA,"f"
"229","Sophie Ronson","Victim",2,"A Rose for Everafter","Morgan, Bonnie","f"
"230","Stacey Collins","Victim",3,"Nikki Heat","Staggs, Monica","f"
"231","Stan Banks","Victim",4,"The Blue Butterfly",NA,"m"
"232","Stanford Raynes aka Dr. Stanford Raynes","Killer",2,"Wrapped Up in Death","Graham, Currie","m"
"233","Stan Holliwell","Killer",2,"Den of Thieves",NA,"m"
"234","Stan Kopek","Killer",2,"The Third Man","Curry, Jon","m"
"235","Stephen Addison","Killer",3,"Law & Murder","Rhines, Houston","m"
"236","Steven Fletcher","Victim",2,"Fool Me Once…","Beinbrink, Will","m"
"237","Steven Heisler","Killer",3,"Last Call","Muirhead, Oliver","m"
"238","Sue Vaughn","Killer",2,"Fool Me Once…","Riker, Jennifer","f"
"239","Susan Delgado","Victim",1,"Home Is Where the Heart Stops",NA,"f"
"240","Susan Mailer","Victim",1,"Ghosts","Armenante, Jillian","f"
"241","Susan Mailer","Killer",1,"Ghosts","Armenante, Jillian","f"
"242","Tanya Brandt","Assalt Victim",4,"Cops and Robbers","Daniels, Holly","f"
"243","Ted Murphy","Killer",2,"A Rose for Everafter",NA,"m"
"244","Theresa Candela","Kidnapper",1,"Little Girl Lost","Reyes, Judy","f"
"245","Thomas Gage","Victim",4,"Linchpin (Part 2)",NA,"m"
"246","Thomas Gage","Killer",4,"Pandora (Part 1)",NA,"m"
"247","Todd McCutcheon","Victim",3,"A Deadly Affair",NA,"m"
"248","Tom Williams","Killer",4,"Undead Again","Doom, Ryan","m"
"249","Tony Valtini aka Tony \The Butcher\ Valtini","Killer",4,"Heroes and Villains","McShane, Jamie","m"
"250","Tracey McGrath","Victim",4,"Pandora (Part 1)",NA,"f"
"251","Trapper John","Victim",4,"Cops and Robbers","Pettie, Darren","m"
"252","Travis McBoyd","Killer",2,"Inventing the Girl","Barr, Matt","m"
"253","Troy Kenworth","Killer",3,"Punked","Nelson, Ian","m"
"254","Tyler Donegal","Kidnap Victim",3,"Murder Most Fowl","Griffith, Gattlin","m"
"255","Tyler Faris","Victim",4,"Heroes and Villains","Ferris, James","m"
"256","Ung Kyu","Killer",3,"Close Encounters of the Murderous Kind","Leong, Will","m"
"257","Unknown","Killer",3,"Setup",NA,NA
"258","Unknown Killer","Killer",4,"Pandora (Part 1)",NA,NA
"259","Unnamed Man 1","Killer",3,"Murder Most Fowl",NA,"m"
"260","Unnamed Man 2","Killer",3,"Murder Most Fowl",NA,"m"
"261","Unnamed Tattooed Russian","Killer",2,"Deep in Death",NA,"m"
"262","Victor Fink","Victim",2,"The Fifth Bullet",NA,"m"
"263","Victoria Westlake aka Victoria \Vicky\ Westlake","Victim",3,"The Final Nail",NA,"f"
"264","Victor Racine","Killer",2,"Den of Thieves","Ironside, Michael","m"
"265","Viola Maddox aka Vera Mulqueen","Killer",4,"The Blue Butterfly","Geer, Ellen","f"
"266","Violet Young","Attempted Murder Victim",3,"To Love and Die in L.A.","Voth, Julia","f"
"267","Vivian Marchand","Victim",3,"He's Dead, She's Dead",NA,"f"
"268","Western High School Track Team","Attempted Murder Victim",4,"Kill Shot",NA,NA
"269","Will Medina","Victim",2,"Wrapped Up in Death","Foster, Kevin","m"
"270","Zach Lindsey","Victim",3,"The Dead Pool",NA,"m"
"271","Zalman Drake","Victim",3,"Poof Youre Dead","Hephner, Jeff","m"
